run_id,participant_id,latency_seconds,total_tokens
01a00553-e4f1-75a3-8931-50385e6b230d,test86,0.851934,5336
01a00553-c368-7533-a69e-b151f8d8a53a,test86,7.056993,5249
01a00553-2ea5-7141-9338-28b200ae0f15,test86,5.747634,4922
01a00553-2708-77b2-852c-f0fad21d256d,test86,1.940673,3365
01a00552-834c-7500-b1da-dd99464fba01,test86,2.58782,2450
01a00524-da42-7610-b5c9-ca4cd727aede,test85,1.007592,4492
01a00524-c364-7543-ac47-caa7456e4efc,test85,3.974544,4413
01a00524-9f9c-7661-abc0-a9b1d9e8478e,test85,0.775051,4762
01a00524-91cd-7d61-9e8c-ef2a9475e040,test85,3.527215,4697
01a00524-8e0b-74b3-8771-e0e46e5e0f2a,test85,0.955892,3806
01a00523-a755-7062-b79a-65d901b97b34,test85,0.750367,3760
01a00521-d24d-7eb0-8565-96112b854977,test85,2.985889,3031
01a00521-cf91-7c61-91b1-5bb9b4cc5eb8,test85,0.694004,2211
